key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
200-211,200,211,20.109660928267452,4634702.099997793|6410954,0,1,0,bridge,6410954,1,1,United Kingdom,Sovereign,0,0.40980582524271847,1,1,Belgium,Sovereign,3,0.3678048780487804
211-300,300,211,20.29546553814093,65079.89999996902|137204.42032716758,0.85,0.15000000000000002,0.51,2,137204.42032716758,1,,Austria-Hungary (Austrian Empire),Sovereign,2,0.2766666666666666,1,1,Belgium,Sovereign,3,0.3678048780487804
140-211,140,211,20.062220029546562,391180.8599998138|225769.39834435776,0.55,0.44999999999999996,0.99,3,391180.8599998138,1,,Brazil,Sovereign,3,0.7147368421052631,1,1,Belgium,Sovereign,3,0.3678048780487804
211-390,390,211,20.6774267036885,161920.34999992294,0.9,0.09999999999999998,0.35999999999999993,3,161920.34999992294,1,,Denmark,Sovereign,3,0.2083333333333333,1,1,Belgium,Sovereign,3,0.3678048780487804
211-651,651,211,17.476013613172583,66755.60999996822,0.85,0.15000000000000002,0.51,2,66755.60999996822,1,,Egypt Arab Republic (Egypt),Sovereign,2,0.22923076923076924,1,1,Belgium,Sovereign,3,0.3678048780487804
211-230,230,211,20.312536228542488,312188.6699998514|581364.9191919192,0.15,0.85,0.51,bridge,581364.9191919192,1,1,Spain,Sovereign,4,0.6065000000000003,1,1,Belgium,Sovereign,3,0.3678048780487804
2-211,2,211,20.348085055322915,1116646.3799994683|377275.92158796696,0,1,0,bridge,1116646.3799994683,1,1,United States of America,Sovereign,1,0.25903225806451613,1,1,Belgium,Sovereign,3,0.3678048780487804
211-220,220,211,21.745797390555214,7153644.959996595|11276587.317305027,0,1,0,bridge,11276587.317305027,1,1,France,Sovereign,2,0.4425862068965518,1,1,Belgium,Sovereign,3,0.3678048780487804
211-212,212,211,23.717815577400422,274037.03999986954,1,0,0,3,274037.03999986954,1,,Luxemburg,Sovereign (limited),3,0,1,1,Belgium,Sovereign,3,0.3678048780487804
211-325,325,211,18.841020955305037,70145.9999999666|246473.43090457216,0.8,0.19999999999999996,0.6399999999999999,2,246473.43090457216,1,1,Italy,Sovereign,2,0.4878571428571428,1,1,Belgium,Sovereign,3,0.3678048780487804
211-280,280,211,20.851996379696423,23265.089999988926,0.95,0.050000000000000044,0.19000000000000017,3,23265.089999988926,1,,Mecklenburg Schwerin,Sovereign,3,0.1375,1,1,Belgium,Sovereign,3,0.3678048780487804
211-70,70,211,17.12501110929392,6975.6299999966795,0.1,0.9,0.36000000000000004,bridge,6975.6299999966795,1,,Mexico,Sovereign,1,0.7177777777777777,1,1,Belgium,Sovereign,3,0.3678048780487804
210-211,210,211,22.22662020557086,5022726.389997609|3387977.6687531723,0.95,0.050000000000000044,0.19000000000000017,3,5022726.389997609,1,1,Netherlands,Sovereign,3,0.3244186046511628,1,1,Belgium,Sovereign,3,0.3678048780487804
211-840,840,211,17.897260282964393,5183.009999997533,0,1,0,bridge,5183.009999997533,1,1,Philippines,Colony of,0,0.06818181818181818,1,1,Belgium,Sovereign,3,0.3678048780487804
211-235,235,211,18.8491121442448,24239.33999998846|19329.02919158712,0.5,0.5,1,bridge,24239.33999998846,1,,Portugal,Sovereign,3,0.7050000000000001,1,1,Belgium,Sovereign,3,0.3678048780487804
211-239,239,211,21.62493511383848,2527789.0499987965,0.95,0.050000000000000044,0.19000000000000017,3,2527789.0499987965,1,,Prussia,Sovereign,3,0.12222222222222223,1,1,Belgium,Sovereign,3,0.3678048780487804
160-211,160,211,22.238568614232133,1399451.6699993338,0.1,0.9,0.36000000000000004,bridge,1399451.6699993338,1,,Argentina (La Plata),Sovereign,3,0.6241666666666669,1,1,Belgium,Sovereign,3,0.3678048780487804
211-365,365,211,20.507889468095055,933409.4399995557|209397.25095264017,0.95,0.050000000000000044,0.19000000000000017,3,933409.4399995557,1,1,Russia (USSR),Sovereign,3,0.2988000000000001,1,1,Belgium,Sovereign,3,0.3678048780487804
211-225,225,211,20.437433548437042,211529.1599998993,0.8,0.19999999999999996,0.6399999999999999,2,211529.1599998993,1,,Switzerland,Sovereign,2,0.5850000000000001,1,1,Belgium,Sovereign,3,0.3678048780487804
115-210,210,115,23.878609215007163,80603.63607557333|93813.65251226527,0.55,0.44999999999999996,0.99,3,93813.65251226527,1,1,Netherlands,Sovereign,3,0.3244186046511628,1,1,Surinam (Dutch Guiana),Colony of,3,0.616
115-220,220,115,18.83970383116778,1663.5639878005309,0.05,0.95,0.19,bridge,1663.5639878005309,1,1,France,Sovereign,2,0.4425862068965518,1,1,Surinam (Dutch Guiana),Colony of,3,0.616
2-300,300,2,17.480753272998278,45863.64196769819,0,1,0,bridge,45863.64196769819,1,,Austria-Hungary (Austrian Empire),Sovereign,2,0.2766666666666666,1,1,United States of America,Sovereign,1,0.25903225806451613
140-2,140,2,21.241225163987206,2967496.1985780625|549451.4199706896,0,1,0,bridge,2967496.1985780625,1,,Brazil,Sovereign,3,0.7147368421052631,1,1,United States of America,Sovereign,1,0.25903225806451613
2-246,246,2,22.99869594750245,1511724.8181481939|1315205.7670218244,0.2,0.8,0.6400000000000001,bridge,1511724.8181481939,1,1,Bremen,Sovereign (unrecognized),3,0.7347619047619047,1,1,United States of America,Sovereign,1,0.25903225806451613
110-2,110,2,20.375938036309993,172519.82903875396,0.95,0.050000000000000044,0.19000000000000017,1,172519.82903875396,1,1,Guyana (British Guiana),Colony of,1,0.23500000000000004,1,1,United States of America,Sovereign,1,0.25903225806451613
2-80,80,2,20.941361207541558,63263.469362594005,0.6,0.4,0.96,0,63263.469362594005,1,1,Belize (British Honduras),Colony of,0,0.96,1,1,United States of America,Sovereign,1,0.25903225806451613
160-2,160,2,21.2597463090729,1226981.2600172604,0,1,0,bridge,1226981.2600172604,1,,Argentina (La Plata),Sovereign,3,0.6241666666666669,1,1,United States of America,Sovereign,1,0.25903225806451613
2-20,20,2,22.801959788488244,6364631.9812600175|4634949.654775605,0.9,0.09999999999999998,0.35999999999999993,1,6364631.9812600175,1,1,Canada (Province of Canada),Colony of,1,0.6,1,1,United States of America,Sovereign,1,0.25903225806451613
2-402,402,2,21.155368393529784,11947.14996095837,0.15,0.85,0.51,bridge,11947.14996095837,1,,Cape Verde,Colony of,5,0.17,1,1,United States of America,Sovereign,1,0.25903225806451613
155-2,155,2,20.042019945482025,278039.2882094275|16722.757598220905,0,1,0,bridge,278039.2882094275,1,1,Chile,Sovereign,4,0.5394117647058823,1,1,United States of America,Sovereign,1,0.25903225806451613
2-710,710,2,20.559307277394968,2088812.3124974314,0,1,0,bridge,2088812.3124974314,1,,People's Republic of China (China),Sovereign,0,0.07230769230769231,1,1,United States of America,Sovereign,1,0.25903225806451613
